LOC;lat;lon;Filename
Tarazá, Quindío;7.583190999999999;-75.39996599999999;1
Tello, Huila;3.0673499;-75.1381059;2
Teorama, Norte de Santander;8.437521;-73.2869429;16
Tibú, Norte de Santander;8.642356;-72.73773299999999;26
Tierralta, Córdoba;8.171571;-76.062313;52
Timbiquí, Cauca;2.777744;-77.66760599999999;2
Timbiquí, Quindío;2.777744;-77.66760599999999;3
Tiquisio, Bolívar;8.5555864;-74.26470429999999;24
Tiquisio, Norte de Santander;8.5555864;-74.26470429999999;7
Toledo, Quindío;4.4610191;-75.667356;11
Tolu, Sucre;9.527477000000001;-75.5812215;2
Toluviejo, Sucre;9.452848999999999;-75.4391349;5
Tolú, Sucre;9.527477000000001;-75.5812215;5
Toribio, Cauca;2.9562909;-76.2704;22
Trujillo, Valle del Cauca;4.211646;-76.3187681;10
Tuluá, Valle del Cauca;4.089869;-76.1914991;29
Tumaco, Nariño;1.787434;-78.791265;46
Turbaco, Bolívar;10.334638;-75.412672;13
Turbo, Antioquia;8.0951588;-76.7284559;1
Turbo, Quindío;4.4610191;-75.667356;23
Támara, Casanare;5.83034;-72.163056;7
Umbita, Nariño;5.22138;-73.45687;12
Unguía, Chocó;8.041038799999999;-77.093099;33
Uramita, Antioquia;6.899406;-76.17451489999999;11
Uramita, Quindío;6.899406;-76.17451489999999;6
Uribe, Meta;3.239241;-74.350661;28
